Accession	Organism	Kingdom	Length	Transmembrane_Helix
Q9NRY2	Homo sapiens	Metazoa	104	False
Q06089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161	True
O43044	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1136	False
Q7TPD6	Mus musculus	Metazoa	673	False
A0A2R6X6S3	Marchantia polymorpha	Plants	911	False
O96693	Plasmodium falciparum (isolate HB3)	Other	488	False
Q03782	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492	False
Q9CQT2	Mus musculus	Metazoa	265	False
Q6NV75	Homo sapiens	Metazoa	609	False
P04553	Homo sapiens	Metazoa	51	False
Q02080	Homo sapiens	Metazoa	365	False
P97346	Mus musculus	Metazoa	435	False
Q91VH1	Mus musculus	Metazoa	375	False
Q920A7	Mus musculus	Metazoa	789	False
Q16629	Homo sapiens	Metazoa	238	False
Q68DX3	Homo sapiens	Metazoa	1309	False
P50749	Homo sapiens	Metazoa	326	False
P32367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	649	False
Q05048	Homo sapiens	Metazoa	431	False
Q04311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632	False
Q8H157	Arabidopsis thaliana	Plants	585	True
O70343	Mus musculus	Metazoa	797	False
Q9NRA8	Homo sapiens	Metazoa	985	False
Q9VDE8	Drosophila melanogaster	Metazoa	974	False
Q96D46	Homo sapiens	Metazoa	503	False
P18409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	493	False
P39943	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394	False
Q9H211	Homo sapiens	Metazoa	546	False
Q9SX29	Arabidopsis thaliana	Plants	159	False
Q9P013	Homo sapiens	Metazoa	229	False
Q8WUM0	Homo sapiens	Metazoa	1156	False
Q9H2K2	Homo sapiens	Metazoa	1166	False
P35293	Mus musculus	Metazoa	206	False
Q8VZS3	Arabidopsis thaliana	Plants	354	False
Q3MHJ5	Bos taurus	Metazoa	138	False
Q6FN94	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	Fungi	499	False
Q8GY65	Arabidopsis thaliana	Plants	343	False
Q5JVF3	Homo sapiens	Metazoa	399	False
Q42545	Arabidopsis thaliana	Plants	433	False
Q8H186	Arabidopsis thaliana	Plants	389	False
Q6SKR2	Mus musculus	Metazoa	214	False
P25569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	745	False
P34886	Caenorhabditis elegans	Metazoa	724	False
P57742	Arabidopsis thaliana	Plants	151	False
Q6U6G5	Rattus norvegicus	Metazoa	426	False
P17558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318	False
O43829	Homo sapiens	Metazoa	449	False
Q20481	Caenorhabditis elegans	Metazoa	287	False
Q80VQ0	Mus musculus	Metazoa	468	False
P08525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94	True
P22058	Drosophila melanogaster	Metazoa	355	False
Q21733	Caenorhabditis elegans	Metazoa	546	False
O01670	Lymnaea stagnalis	Metazoa	578	False
Q9C6T1	Arabidopsis thaliana	Plants	505	False
P36038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271	False
Q9UT50	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	485	False
Q9QZI7	Rattus norvegicus	Metazoa	287	False
Q9H5J8	Homo sapiens	Metazoa	278	False
P14905	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	389	False
A0A7G5KLV3	Cananga odorata	Plants	586	False
P26434	Rattus norvegicus	Metazoa	717	False
Q9NV70	Homo sapiens	Metazoa	894	False
G5EDW1	Caenorhabditis elegans	Metazoa	217	False
Q9QXK9	Mus musculus	Metazoa	374	False
Q5W7F1	Danio rerio	Metazoa	743	False
G5EGA9	Caenorhabditis elegans	Metazoa	345	False
Q9H204	Homo sapiens	Metazoa	178	False
A0A075TXZ8	Penicillium expansum	Fungi	799	False
Q8R5A0	Mus musculus	Metazoa	433	False
P91399	Caenorhabditis elegans	Metazoa	926	False
O09111	Mus musculus	Metazoa	151	True
Q39057	Arabidopsis thaliana	Plants	373	False
Q9CPR8	Mus musculus	Metazoa	279	False
Q8C9X6	Mus musculus	Metazoa	813	False
Q9SMX1	Arabidopsis thaliana	Plants	571	False
Q62908	Rattus norvegicus	Metazoa	193	False
O14291	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	313	False
Q8WUQ7	Homo sapiens	Metazoa	758	False
O49668	Arabidopsis thaliana	Plants	214	False
O70597	Rattus norvegicus	Metazoa	246	False
Q5SSW2	Mus musculus	Metazoa	1843	False
Q9UIJ5	Homo sapiens	Metazoa	367	True
Q99315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1547	False
Q13487	Homo sapiens	Metazoa	334	False
