Accession	Organism	Kingdom	Length	Transmembrane_Helix
P23369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157	False
Q9D915	Mus musculus	Metazoa	106	False
Q791V5	Mus musculus	Metazoa	303	False
Q8N5M1	Homo sapiens	Metazoa	289	False
Q86XI2	Homo sapiens	Metazoa	1143	False
P53335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271	False
A2XFC1	Oryza sativa subsp. indica	Plants	442	False
P36141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False
Q06139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	101	False
O94708	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	394	False
F4HQA1	Arabidopsis thaliana	Plants	589	False
Q9BY41	Homo sapiens	Metazoa	377	False
Q9FFH1	Arabidopsis thaliana	Plants	1694	False
Q9SWW6	Arabidopsis thaliana	Plants	1026	False
Q9SLD2	Arabidopsis thaliana	Plants	520	False
P91277	Caenorhabditis elegans	Metazoa	397	False
A2IDD5	Homo sapiens	Metazoa	438	False
Q9H227	Homo sapiens	Metazoa	469	False
O60356	Homo sapiens	Metazoa	82	False
Q07896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663	False
Q93062	Homo sapiens	Metazoa	196	False
Q9LZP8	Arabidopsis thaliana	Plants	146	False
Q7S2H6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	310	False
O94328	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	141	False
P22572	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	453	False
Q99188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	309	False
Q99LM3	Mus musculus	Metazoa	459	False
P22138	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1203	False
Q9ZVZ9	Arabidopsis thaliana	Plants	199	False
P90551	Leishmania mexicana	Other	366	False
P53718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	249	False
O94410	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	186	False
P36954	Homo sapiens	Metazoa	125	False
Q19360	Caenorhabditis elegans	Metazoa	430	False
Q80WJ1	Mus musculus	Metazoa	673	False
Q10424	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	330	False
P47057	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423	False
A6NKF2	Homo sapiens	Metazoa	412	False
Q01962	Komagataella pastoris	Fungi	713	False
Q8WQX5	Trypanosoma brucei brucei	Other	976	False
O81836	Arabidopsis thaliana	Plants	314	False
Q9SWA6	Arabidopsis thaliana	Plants	432	False
Q8IMZ9	Drosophila melanogaster	Metazoa	853	False
Q24119	Drosophila melanogaster	Metazoa	1022	False
Q7Z6K1	Homo sapiens	Metazoa	395	False
Q96WW3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	False
P08593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	268	False
Q12530	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	201	True
P41920	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	201	False
Q8IIS5	Plasmodium falciparum (isolate 3D7)	Other	643	False
Q9JMB1	Mus musculus	Metazoa	375	False
Q8BUE4	Mus musculus	Metazoa	373	True
P92792	Solanum tuberosum	Plants	204	False
Q8R3K3	Mus musculus	Metazoa	381	False
