Accession	Organism	Kingdom	Length	Transmembrane_Helix
Q9VGE2	Drosophila melanogaster	Metazoa	384	False
P11799	Gallus gallus	Metazoa	1906	False
Q94230	Caenorhabditis elegans	Metazoa	226	False
Q9Y371	Homo sapiens	Metazoa	365	False
Q9SII9	Arabidopsis thaliana	Plants	538	False
Q9BQ52	Homo sapiens	Metazoa	826	False
Q7Z7K6	Homo sapiens	Metazoa	275	False
Q13315	Homo sapiens	Metazoa	3056	False
P28519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	371	False
Q00653	Homo sapiens	Metazoa	900	False
Q8MLV1	Drosophila melanogaster	Metazoa	741	False
P09798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	840	False
Q9WTW8	Rattus norvegicus	Metazoa	647	False
Q91YE8	Mus musculus	Metazoa	1087	False
Q52KF3	Mus musculus	Metazoa	598	False
Q3TH73	Mus musculus	Metazoa	532	False
Q96F07	Homo sapiens	Metazoa	1278	False
Q9XUK2	Caenorhabditis elegans	Metazoa	307	False
P40073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367	True
Q94131	Caenorhabditis elegans	Metazoa	335	False
O94632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	773	False
Q10F03	Oryza sativa subsp. japonica	Plants	529	False
P47148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	False
P19538	Drosophila melanogaster	Metazoa	1397	False
F4K8S5	Arabidopsis thaliana	Plants	355	False
Q8CI15	Mus musculus	Metazoa	382	False
A2SWM2	Danio rerio	Metazoa	504	True
O13801	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False
P36956	Homo sapiens	Metazoa	1147	False
P38873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1557	False
O60336	Homo sapiens	Metazoa	1514	False
O75004	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	501	False
Q1ZXQ0	Dictyostelium discoideum	Other	1019	False
Q62100	Mus musculus	Metazoa	101	False
Q6IQ20	Homo sapiens	Metazoa	393	False
F4ICK8	Arabidopsis thaliana	Plants	502	False
Q00899	Mus musculus	Metazoa	414	False
A2RTF1	Mus musculus	Metazoa	1109	False
Q94BQ3	Arabidopsis thaliana	Plants	757	False
P82538	Arabidopsis thaliana	Plants	230	False
Q9CR51	Mus musculus	Metazoa	118	False
Q9FWA3	Arabidopsis thaliana	Plants	486	False
P38169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460	False
Q8BGW1	Mus musculus	Metazoa	502	False
Q8NFV4	Homo sapiens	Metazoa	306	False
Q9P7C8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214	False
H2KYU6	Caenorhabditis elegans	Metazoa	529	False
C0HM83	Homo sapiens	Metazoa	58	False
P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868	False
