Accession	Organism	Kingdom	Length	Cleavage_site
Q5JNJ5	Oryza sativa subsp. japonica	Plants	237	28
P11438	Mus musculus	Metazoa	406	24
Q8TCT8	Homo sapiens	Metazoa	520	25
Q9NPR2	Homo sapiens	Metazoa	837	43
P25068	Bos taurus	Metazoa	64	26
Q9UKY0	Homo sapiens	Metazoa	176	25
P08603	Homo sapiens	Metazoa	1231	18
Q9Y240	Homo sapiens	Metazoa	323	21
P05113	Homo sapiens	Metazoa	134	19
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21
Q86T13	Homo sapiens	Metazoa	490	21
Q06K61	Phlebotomus duboscqi	Metazoa	516	20
Q00802	Bombyx mori	Metazoa	256	17
P01174	Rattus norvegicus	Metazoa	137	19
Q15399	Homo sapiens	Metazoa	786	24
Q9Z1K9	Rattus norvegicus	Metazoa	827	17
Q8N766	Homo sapiens	Metazoa	993	22
P00996	Bos taurus	Metazoa	79	23
A4LAR6	Grifola frondosa	Fungi	107	24
P28770	Oncorhynchus mykiss	Metazoa	221	21
Q10NX8	Oryza sativa subsp. japonica	Plants	858	30
Q7Q7R8	Anopheles gambiae	Metazoa	89	29
P19324	Mus musculus	Metazoa	417	17
A1IKL2	Anisakis simplex	Metazoa	152	18
Q9NRC9	Homo sapiens	Metazoa	128	17
P27275	Amaranthus caudatus	Plants	86	25
P17164	Rattus norvegicus	Metazoa	462	28
P01168	Sus scrofa	Metazoa	116	24
P09470	Mus musculus	Metazoa	1312	34
Q9H6E4	Homo sapiens	Metazoa	229	22
Q9HBE5	Homo sapiens	Metazoa	538	19
Q8WWA0	Homo sapiens	Metazoa	313	18
Q8MI35	Sus scrofa	Metazoa	152	32
P58154	Lymnaea stagnalis	Metazoa	229	19
E0D877	Aedes albopictus	Metazoa	564	25
P05367	Mus musculus	Metazoa	122	19
P12872	Homo sapiens	Metazoa	115	25
Q9NRM6	Homo sapiens	Metazoa	502	17
B2KNH9	Dendrobium findlayanum	Plants	167	24
Q8NC67	Homo sapiens	Metazoa	525	22
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21
O02380	Tyrophagus putrescentiae	Metazoa	141	15
Q95P08	Scutigera coleoptrata	Metazoa	656	18
Q9UBP4	Homo sapiens	Metazoa	350	21
Q7Z0T3	Aplysia californica	Metazoa	125	22
Q6UWY5	Homo sapiens	Metazoa	402	28
Q75WF2	Acanthaster planci	Metazoa	358	26
H6U1I8	Tanacetum cinerariifolium	Plants	365	27
Q6WN34	Homo sapiens	Metazoa	429	25
Q90W22	Aquarana catesbeiana	Metazoa	114	24
P79073	Hypocrea jecorina	Fungi	86	15
G9M8X1	Nephotettix cincticeps	Metazoa	687	19
P25942	Homo sapiens	Metazoa	277	20
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18
P28039	Homo sapiens	Metazoa	575	23
P14946	Lolium perenne	Plants	263	23
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	20
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18
P48842	Aspergillus aculeatus	Fungi	350	16
P01070	Glycine max	Plants	216	24
P30438	Felis catus	Metazoa	92	22
P08833	Homo sapiens	Metazoa	259	25
Q14392	Homo sapiens	Metazoa	662	19
P18709	Xenopus laevis	Metazoa	1807	15
Q9UNE0	Homo sapiens	Metazoa	448	26
P01131	Bos taurus	Metazoa	845	21
P23577	Chlamydomonas reinhardtii	Plants	317	31
P45478	Bos taurus	Metazoa	306	27
Q01528	Limulus polyphemus	Metazoa	172	19
Q9H1M4	Homo sapiens	Metazoa	99	20
P80060	Locusta migratoria	Metazoa	92	19
F7J1C8	Flammulina velutipes	Fungi	249	21
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20
Q84V39	Olea europaea	Plants	123	21
P04937	Rattus norvegicus	Metazoa	2477	24
Q92765	Homo sapiens	Metazoa	325	32
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	234	20
P15570	Phytophthora cryptogea	Other	118	20
P23515	Homo sapiens	Metazoa	440	24
Q86Y34	Homo sapiens	Metazoa	549	20
Q8MJV4	Bos taurus	Metazoa	122	24
Q39962	Hevea brasiliensis	Plants	238	31
Q6UW56	Homo sapiens	Metazoa	229	30
Q8NBL1	Homo sapiens	Metazoa	392	23
P81058	Penaeus vannamei	Metazoa	82	19
P83472	Lumbricus terrestris	Metazoa	86	22
P14925	Rattus norvegicus	Metazoa	976	25
Q969H8	Homo sapiens	Metazoa	173	31
P09619	Homo sapiens	Metazoa	1106	32
P21837	Dictyostelium discoideum	Other	550	19
P07507	Bos taurus	Metazoa	103	19
O88188	Mus musculus	Metazoa	162	19
Q05895	Mus musculus	Metazoa	956	21
P19137	Mus musculus	Metazoa	3083	24
P01148	Homo sapiens	Metazoa	92	23
Q8BSU2	Mus musculus	Metazoa	246	26
P80392	Meleagris gallopavo	Metazoa	64	28
P02702	Bos taurus	Metazoa	241	19
Q53NL5	Oryza sativa subsp. japonica	Plants	290	27
Q8WMP9	Bos taurus	Metazoa	407	29
Q13231	Homo sapiens	Metazoa	466	21
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23
P13611	Homo sapiens	Metazoa	3396	20
Q9LRC8	Scutellaria baicalensis	Plants	527	25
