Accession	Organism	Kingdom	Length	Cleavage_site
P51654	Homo sapiens	Metazoa	580	24
G5EC68	Caenorhabditis elegans	Metazoa	85	17
A7VN15	Protobothrops flavoviridis	Metazoa	79	19
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23
P22864	Aspergillus niger	Fungi	373	19
P01139	Mus musculus	Metazoa	241	18
Q9SUQ8	Arabidopsis thaliana	Plants	187	29
P43077	Candida albicans	Fungi	562	22
Q5G8A6	Tityus costatus	Metazoa	87	19
Q9TRM8	Canis lupus familiaris	Metazoa	177	25
O95866	Homo sapiens	Metazoa	241	17
O48818	Arabidopsis thaliana	Plants	257	20
Q6UXB2	Homo sapiens	Metazoa	119	21
P33681	Homo sapiens	Metazoa	288	34
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20
P84777	Tityus discrepans	Metazoa	61	23
Q9UIK5	Homo sapiens	Metazoa	374	40
Q8NBK3	Homo sapiens	Metazoa	374	33
P35053	Rattus norvegicus	Metazoa	558	23
P27773	Mus musculus	Metazoa	505	24
Q556R7	Dictyostelium discoideum	Other	303	24
Q06K77	Phlebotomus duboscqi	Metazoa	336	21
Q9YH85	Gallus gallus	Metazoa	2120	24
Q86YD3	Homo sapiens	Metazoa	366	26
O35701	Mus musculus	Metazoa	481	27
P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20
Q969Z4	Homo sapiens	Metazoa	430	25
Q6UW32	Homo sapiens	Metazoa	110	24
Q27967	Bos taurus	Metazoa	203	23
P32004	Homo sapiens	Metazoa	1257	19
Q968Z6	Dictyostelium discoideum	Other	557	19
Q9UK23	Homo sapiens	Metazoa	515	25
P81511	Hirudo medicinalis	Metazoa	81	15
P43307	Homo sapiens	Metazoa	286	18
Q8HYA9	Sus scrofa	Metazoa	185	20
P04925	Mus musculus	Metazoa	254	22
P02896	Trypanosoma brucei brucei	Other	526	33
Q6ZSA7	Homo sapiens	Metazoa	298	34
P81605	Homo sapiens	Metazoa	110	19
P15289	Homo sapiens	Metazoa	507	18
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23
P80188	Homo sapiens	Metazoa	198	20
O61668	Olivierus martensii	Metazoa	88	18
Q969J5	Homo sapiens	Metazoa	263	21
Q6XE38	Homo sapiens	Metazoa	83	21
P02774	Homo sapiens	Metazoa	474	16
P80370	Homo sapiens	Metazoa	383	23
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Plants	274	25
P02763	Homo sapiens	Metazoa	201	18
P02790	Homo sapiens	Metazoa	462	23
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19
P18510	Homo sapiens	Metazoa	177	25
P56829	Ovis aries	Metazoa	195	23
O35806	Rattus norvegicus	Metazoa	1764	35
Q6E0U4	Homo sapiens	Metazoa	476	21
Q6UX46	Homo sapiens	Metazoa	152	24
W1I921	Achatina achatina	Metazoa	184	26
Q9Y279	Homo sapiens	Metazoa	399	19
Q9GL30	Bos taurus	Metazoa	545	35
P26842	Homo sapiens	Metazoa	260	19
Q8T0Y7	Aplysia californica	Metazoa	141	26
I6S390	Scolopendra mutilans	Metazoa	76	22
P31419	Manduca sexta	Metazoa	161	20
P30986	Eschscholzia californica	Plants	538	23
Q6UW10	Homo sapiens	Metazoa	78	19
Q7Z5A7	Homo sapiens	Metazoa	132	43
Q9XSW3	Sus scrofa	Metazoa	240	18
Q9P2K2	Homo sapiens	Metazoa	825	27
