Accession	Organism	Kingdom	Length	Transmembrane_Helix
Q94B35	Arabidopsis thaliana	Plants	466	False
M4IRL4	Humulus lupulus	Plants	573	False
P46673	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	744	False
Q6RFH5	Homo sapiens	Metazoa	385	False
Q99288	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334	False
Q8LL04	Arabidopsis thaliana	Plants	1241	False
O60053	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	440	False
O35250	Mus musculus	Metazoa	697	False
Q6UXN9	Homo sapiens	Metazoa	313	False
Q9S814	Arabidopsis thaliana	Plants	1294	True
Q03218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	510	False
Q9SIE1	Arabidopsis thaliana	Plants	475	False
Q9P7H8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1679	False
Q9BV20	Homo sapiens	Metazoa	369	False
Q96DG6	Homo sapiens	Metazoa	245	False
Q13356	Homo sapiens	Metazoa	520	False
O24629	Arabidopsis thaliana	Plants	502	False
Q8TC71	Homo sapiens	Metazoa	538	False
Q5JTH9	Homo sapiens	Metazoa	1297	False
Q8TDU6	Homo sapiens	Metazoa	330	False
F4I1T7	Arabidopsis thaliana	Plants	1819	False
Q69IL4	Oryza sativa subsp. japonica	Plants	380	False
P38770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471	False
Q5VWP2	Homo sapiens	Metazoa	391	False
Q41062	Pisum sativum	Plants	1011	False
P14906	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663	True
Q6DYE4	Arabidopsis thaliana	Plants	455	False
P17629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	752	False
Q9CZX7	Mus musculus	Metazoa	257	False
Q9JJG9	Mus musculus	Metazoa	693	False
Q9UPZ3	Homo sapiens	Metazoa	1129	False
Q9Y2T6	Homo sapiens	Metazoa	319	False
Q9NYG5	Homo sapiens	Metazoa	84	False
Q8BXP5	Mus musculus	Metazoa	385	False
Q9VWE6	Drosophila melanogaster	Metazoa	2111	False
P97868	Mus musculus	Metazoa	1790	False
Q6K9U2	Oryza sativa subsp. japonica	Plants	279	False
Q8TEH3	Homo sapiens	Metazoa	1009	False
Q9XZT7	Drosophila melanogaster	Metazoa	146	False
P92276	Chlamydomonas reinhardtii	Plants	62	True
Q16540	Homo sapiens	Metazoa	153	False
Q8GY89	Arabidopsis thaliana	Plants	125	False
P40065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302	False
P16521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1044	False
O02351	Antheraea polyphemus	Metazoa	525	True
Q9CPX8	Mus musculus	Metazoa	56	True
P37299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	77	True
Q5D869	Arabidopsis thaliana	Plants	1976	False
A0A0U2X0E4	Mycosarcoma maydis	Fungi	443	False
P24752	Homo sapiens	Metazoa	427	False
Q5GH77	Homo sapiens	Metazoa	459	True
Q12418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	502	False
Q9LEM8	Chlamydomonas reinhardtii	Plants	1385	False
Q02455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1875	False
Q2V2P9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	66	True
P47027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	764	False
Q02864	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	156	False
O75575	Homo sapiens	Metazoa	148	False
P18296	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1828	False
Q86YS7	Homo sapiens	Metazoa	1000	False
A8MQL1	Arabidopsis thaliana	Plants	1082	False
Q9M9V7	Arabidopsis thaliana	Plants	587	True
P31356	Todarodes pacificus	Metazoa	448	False
Q6PR54	Mus musculus	Metazoa	2419	False
P42842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	904	False
Q9BWX1	Homo sapiens	Metazoa	381	False
Q54KF1	Dictyostelium discoideum	Other	1158	False
P49419	Homo sapiens	Metazoa	539	False
B1B534	Oryza sativa subsp. japonica	Plants	475	False
Q8L493	Arabidopsis thaliana	Plants	373	False
Q86MD3	Caenorhabditis elegans	Metazoa	509	False
Q9LVH4	Arabidopsis thaliana	Plants	177	False
Q9NW75	Homo sapiens	Metazoa	528	False
Q9P6P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265	False
O42649	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1194	False
Q7XZF5	Arabidopsis thaliana	Plants	1841	False
Q4WF54	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	270	False
O49629	Arabidopsis thaliana	Plants	310	False
Q680Q4	Arabidopsis thaliana	Plants	884	False
P36525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258	False
O14734	Homo sapiens	Metazoa	319	False
A0A455ZAR2	Homo sapiens	Metazoa	87	False
P19824	Chlamydomonas reinhardtii	Plants	375	False
Q9SZR9	Arabidopsis thaliana	Plants	638	False
O70433	Mus musculus	Metazoa	279	False
Q17635	Caenorhabditis elegans	Metazoa	590	False
Q84N64	Arabidopsis thaliana	Plants	777	False
P32318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326	False
O35387	Mus musculus	Metazoa	280	False
Q03671	Candida parapsilosis	Fungi	246	True
P49686	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	False
O74500	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	736	False
Q9HCS7	Homo sapiens	Metazoa	855	False
P08468	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	800	False
P59178	Mus musculus	Metazoa	703	False
O74417	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	497	False
