Accession	Organism	Kingdom	Length	Cleavage_site
Q6UX27	Homo sapiens	Metazoa	236	16
P13727	Homo sapiens	Metazoa	222	16
Q9NYY1	Homo sapiens	Metazoa	176	24
P18428	Homo sapiens	Metazoa	481	25
P12273	Homo sapiens	Metazoa	146	28
Q9H293	Homo sapiens	Metazoa	177	32
P15516	Homo sapiens	Metazoa	51	19
P04706	Zea mays	Plants	223	19
Q16627	Homo sapiens	Metazoa	93	19
P97710	Rattus norvegicus	Metazoa	509	31
Q9LLT1	Juniperus virginiana	Plants	367	21
Q00017	Aspergillus aculeatus	Fungi	250	17
Q5UCC4	Homo sapiens	Metazoa	262	25
Q9M373	Arabidopsis thaliana	Plants	74	26
Q9Z0M9	Mus musculus	Metazoa	193	28
Q99372	Rattus norvegicus	Metazoa	870	27
Q8SXL2	Drosophila melanogaster	Metazoa	136	24
P60568	Homo sapiens	Metazoa	153	20
Q8BPM6	Mus musculus	Metazoa	367	31
P48819	Sus scrofa	Metazoa	459	19
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20
Q62867	Rattus norvegicus	Metazoa	317	24
Q8N6C8	Homo sapiens	Metazoa	439	23
Q6UWI2	Homo sapiens	Metazoa	310	20
Q13651	Homo sapiens	Metazoa	578	21
P30919	Rattus norvegicus	Metazoa	345	23
Q90WJ9	Takifugu pardalis	Metazoa	391	20
P14214	Tachypleus tridentatus	Metazoa	77	23
P01137	Homo sapiens	Metazoa	390	29
Q60GF7	Rattus norvegicus	Metazoa	252	22
P23438	Canis lupus familiaris	Metazoa	183	17
Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18
O43852	Homo sapiens	Metazoa	315	19
P19594	Glycine max	Plants	158	21
Q9UBN6	Homo sapiens	Metazoa	386	55
Q9JI59	Mus musculus	Metazoa	298	28
Q8TAL6	Homo sapiens	Metazoa	211	18
P31358	Homo sapiens	Metazoa	61	24
Q9NSA1	Homo sapiens	Metazoa	209	28
Q09098	Mus musculus	Metazoa	99	23
P45561	Sus scrofa	Metazoa	189	16
Q95121	Bos taurus	Metazoa	416	20
A0A1W6EVM7	Ampulex compressa	Metazoa	50	26
P81827	Rattus norvegicus	Metazoa	101	21
P55955	Caenorhabditis elegans	Metazoa	132	19
Q8NBM8	Homo sapiens	Metazoa	494	22
B0JFB8	Antheraea mylitta	Metazoa	105	19
Q9UAH3	Pinctada fucata	Metazoa	129	23
Q95NK7	Olivierus martensii	Metazoa	54	23
P16382	Mus musculus	Metazoa	810	25
P01033	Homo sapiens	Metazoa	207	23
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	20
Q8NAC3	Homo sapiens	Metazoa	791	20
P13691	Hordeum vulgare	Plants	152	30
P0C8G7	Pomacea canaliculata	Metazoa	286	30
Q9Z0K8	Mus musculus	Metazoa	512	23
Q99519	Homo sapiens	Metazoa	415	47
P13671	Homo sapiens	Metazoa	934	21
P21956	Mus musculus	Metazoa	463	22
P35777	Solenopsis invicta	Metazoa	137	19
Q6GU94	Centruroides limpidus	Metazoa	56	24
Q07092	Homo sapiens	Metazoa	1604	21
Q8X150	Gaeumannomyces tritici	Fungi	618	16
Q17058	Apis mellifera	Metazoa	567	17
Q9SU40	Arabidopsis thaliana	Plants	587	20
P0DPZ2	Scolopendra dehaani	Metazoa	101	23
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22
E9NX73	Fagopyrum tataricum	Plants	149	22
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18
Q7YZS9	Conus virgo	Metazoa	67	26
P05117	Solanum lycopersicum	Plants	457	24
P80109	Bos taurus	Metazoa	839	23
Q25255	Lucilia cuprina	Metazoa	356	23
Q8MUP7	Ixodes scapularis	Metazoa	102	21
P29320	Homo sapiens	Metazoa	983	20
Q96DU3	Homo sapiens	Metazoa	332	21
Q9NAX4	Dictyostelium discoideum	Other	464	17
P00719	Struthio camelus	Metazoa	204	19
Q64HC7	Armadillidium vulgare	Metazoa	73	19
O00105	Aspergillus niger	Fungi	564	19
P16150	Homo sapiens	Metazoa	400	19
P52706	Prunus serotina	Plants	563	27
P86872	Margaritifera margaritifera	Metazoa	260	19
Q9LXD6	Arabidopsis thaliana	Plants	773	23
P19320	Homo sapiens	Metazoa	739	24
Q13162	Homo sapiens	Metazoa	271	37
P27613	Trichostrongylus colubriformis	Metazoa	173	15
